21:03:24.864 [Thread-0] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/ykhmhcbw3t55zmszjinsrwrmujxxm0dqhyqk2kje to view build report, insights, and many more debugging information all at one place!

21:03:26.610 [Thread-0] INFO  c.browserstack.utils.UtilityMethods - View build on BrowserStack dashboard: https://app-automate.browserstack.com/dashboard/v2/builds/f5a99aba0420a955d318686525f8691de740d42b
21:03:26.611 [Thread-0] INFO  c.b.config.BrowserStackConfig - INFO
21:08:13.166 [main] INFO  c.browserstack.BrowserStackJavaAgent - Selenium version detected - 
21:08:13.168 [main] INFO  c.browserstack.BrowserStackJavaAgent - Appium version detected - 9.0.0
21:08:13.409 [main] INFO  c.browserstack.utils.UtilityMethods - BrowserStack Yml Detected : /Users/mainakmukherjee/git/BrowserStack_POC_SNB_JavaOnly/BrowserStack_POC_JavaOnly/browserstack.yml
21:08:13.673 [main] WARN  c.b.config.BrowserStackConfig - Framework Detected Mismatch, Framework Detected - java but Framework provided in browserstack.yml - testng
21:08:13.673 [main] INFO  c.b.config.BrowserStackConfig - Setting value of testObservability as specified in your browserstack.yml to true
21:08:14.313 [main] INFO  c.browserstack.BrowserStackJavaAgent - Using app: [bs://4c232d3347c3b3cb1c05663d9cc1004130a70a4c]
21:08:14.314 [main] INFO  c.browserstack.BrowserStackJavaAgent - Framework set to testng
21:08:18.713 [main] INFO  c.browserstack.BrowserStackJavaAgent - Starting BrowserStack Local......
21:09:03.805 [Thread-0] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/vw0bnhdziobio3nnd47zvbi37aknrle4vwkhyyyx to view build report, insights, and many more debugging information all at one place!

21:09:04.371 [Thread-0] INFO  c.browserstack.utils.UtilityMethods - View build on BrowserStack dashboard: https://app-automate.browserstack.com/dashboard/v2/builds/f573091e0246bdceb79c35af592461386800be1f
21:09:04.372 [Thread-0] INFO  c.b.config.BrowserStackConfig - INFO
21:11:38.468 [main] INFO  c.browserstack.BrowserStackJavaAgent - Selenium version detected - 
21:11:38.475 [main] INFO  c.browserstack.BrowserStackJavaAgent - Appium version detected - 9.0.0
21:11:38.703 [main] INFO  c.browserstack.utils.UtilityMethods - BrowserStack Yml Detected : /Users/mainakmukherjee/git/BrowserStack_POC_SNB_JavaOnly/BrowserStack_POC_JavaOnly/browserstack.yml
21:11:38.962 [main] WARN  c.b.config.BrowserStackConfig - Framework Detected Mismatch, Framework Detected - java but Framework provided in browserstack.yml - testng
21:11:38.963 [main] INFO  c.b.config.BrowserStackConfig - Setting value of testObservability as specified in your browserstack.yml to true
21:11:39.516 [main] INFO  c.browserstack.BrowserStackJavaAgent - Using app: [bs://4c232d3347c3b3cb1c05663d9cc1004130a70a4c]
21:11:39.517 [main] INFO  c.browserstack.BrowserStackJavaAgent - Framework set to testng
21:11:43.928 [main] INFO  c.browserstack.BrowserStackJavaAgent - Starting BrowserStack Local......
21:12:58.257 [Thread-0] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/k0r4kueg443brlng1jvmruzrctlhbzecvcdxwkvm to view build report, insights, and many more debugging information all at one place!

21:12:58.819 [Thread-0] INFO  c.browserstack.utils.UtilityMethods - View build on BrowserStack dashboard: https://app-automate.browserstack.com/dashboard/v2/builds/4b9373df4a166a5891e8ffdb317fd1d13c00b7d6
21:12:58.819 [Thread-0] INFO  c.b.config.BrowserStackConfig - INFO
21:13:13.748 [main] INFO  c.browserstack.BrowserStackJavaAgent - Selenium version detected - 
21:13:13.751 [main] INFO  c.browserstack.BrowserStackJavaAgent - Appium version detected - 9.0.0
21:13:13.977 [main] INFO  c.browserstack.utils.UtilityMethods - BrowserStack Yml Detected : /Users/mainakmukherjee/git/BrowserStack_POC_SNB_JavaOnly/BrowserStack_POC_JavaOnly/browserstack.yml
